sep=|
creatures,delta
0|7,8001E-4
0|0,04123128
0|0,017051408
0|0,016944673
0|0,017426224
0|0,017381888
0|0,016630204
0|0,016831776
0|0,054025482
0|0,015043091
0|0,016720932
0|0,017369572
0|0,016798932
0|0,017040735
0|0,016921273
0|0,016971765
0|0,03276572
0|0,017011998
0|0,017070703
0|0,016808376
0|0,017744796
0|0,016722575
0|0,016923323
0|0,017170465
0|0,017134748
0|0,018128645
0|0,01670451
0|0,01826576
0|0,016018923
10|0,01756868
10|0,016655657
10|0,017101496
10|0,017076451
10|0,01699106
10|0,016953291
10|0,016993115
10|0,01687365
10|0,017187703
10|0,016835472
10|0,016955756
10|0,017057978
10|0,016911007
10|0,017019387
10|0,01696684
10|0,016925376
10|0,016940156
10|0,01698244
10|0,016954115
10|0,016941799
10|0,01700543
10|0,016932355
10|0,016971355
10|0,016890481
10|0,016986957
10|0,017002147
10|0,016993525
10|0,01749273
10|0,016954936
10|0,017037863
20|0,01695904
20|0,016939744
20|0,01699024
20|0,016911007
20|0,016963556
20|0,016929893
20|0,016947543
20|0,016984904
20|0,01691224
20|0,016962323
20|0,016950008
20|0,0171914
20|0,016934818
20|0,017243538
20|0,016875705
20|0,01740775
20|0,017049355
20|0,016975053
20|0,016995575
20|0,016886787
20|0,016940976
20|0,016762806
20|0,016944673
20|0,016955756
20|0,016937282
20|0,016994346
20|0,016918397
20|0,016962737
20|0,016993936
20|0,016929071
